idStockItem;prodId;SizeId;quantity
1;1;3;20
2;1;4;20
3;1;5;20
4;1;6;20
5;1;7;20
6;1;8;20
7;2;16;2
8;2;17;2
9;3;2;30
10;3;3;30
11;4;2;15
12;4;3;15
13;5;4;5
14;5;5;5
15;5;6;5
16;6;1;4
17;6;2;4
18;6;3;4
19;7;4;4
20;7;5;4
21;7;6;4
22;7;7;4
23;8;10;7
24;8;11;7
25;8;12;7
26;8;13;7
27;9;1;7
28;9;2;7
29;9;3;7
30;10;19;12
31;10;21;12
32;11;25;2
33;11;27;2
34;12;21;5
35;12;25;5
36;12;27;5
37;13;19;10
38;13;21;10
39;13;23;10
40;13;25;10
41;13;27;10
42;14;18;3
43;15;21;23
44;15;25;23
45;15;27;23
46;16;19;25
47;16;21;25
48;16;23;25
49;17;19;4
50;17;23;4
51;17;25;4
52;17;27;4
53;18;18;9
54;18;23;9
55;19;18;2
56;19;19;2
57;20;21;5
58;20;22;5
59;20;23;5
60;20;24;5
61;21;18;16
62;21;19;16
63;21;23;16
64;21;25;16
65;22;18;3
66;22;23;3
67;23;30;18
68;23;31;18
69;23;32;18
70;23;33;18
71;24;23;50
72;24;24;50
73;24;25;50
74;24;26;50
75;24;27;50
76;24;29;50
77;25;29;3
78;25;31;3
79;25;34;3
80;26;27;23
81;26;29;23
82;26;33;23
83;27;31;15
84;27;33;15
85;27;34;15
86;28;34;3
87;29;29;1
88;29;31;1
89;30;31;20
90;30;33;20
91;31;29;30
92;31;31;30
