idProdName;ProdName
1;Кроссовки детские «Звёздочка» экокожа
2;Кроссовки детские «Гонщик» экокожа
3;Кроссовки детские «Радуга» экокожа перфорированная
4;Сапожки детские «Снежинка» зимние на меху
5;Сапожки детские «Медвежонок» демисезонные непромокаемые
6;Сапожки детские «Принцесса» кожаные
7;Сандалии детские «Пчёлка» ортопедические летние
8;Сандалии детские «Морячок» текстильные с фиксатором
9;Туфли детские «Бантик» лаковые праздничные
10;Сапоги зимние натуральная кожа
11;Сапоги осенние натуральная кожа
12;Сапоги трубы демисезонные замшевые
13;Босоножки «Песчаный берег» коричневые
14;Женские босоножки «Черный кофе» со скульптурным каблуком
15;Босоножки женские «Летний бриз»
16;Демисезонные туфли натуральная кожа
17;Туфли женские натуральная кожа с металлическими вставками
18;Туфли классические лодочки натуральная кожа
19;Кроссовки белые с оранжевым и красным
20;Кроссовки летние кожаные
21;Кроссовки кожаные
22;Кроссовки «Стиль и комфорт»
23;Кроссовки для бега «Драйв»
24;Кроссовки «Азимут Бег» 
25;Кроссовки
26;Черные туфли в классическом стиле — база для деловых образов
27;Туфли мужские светлые классика демисезонные
28;Туфли из натуральной кожи
29;Ботинки мужские демисезонные
30;Ботинки черные из натуральной кожи
31;Ботинки зимние классические
