idProd;CatId;subCatId;Image;prodName;manufId;descrip;struct;price
1;1;1;IMG_KS_195217.png;Кроссовки детские «Звёздочка» экокожа;1;Кроссовки детские «Звёздочка» экокожа. Производитель: ООО «1», г. Смоленск;Верх — экокожа (полиуретан на хлопковой основе), подкладка — хлопок 100%, подошва — ПВХ;2190
2;1;1;IMG_KS_195213.png;Кроссовки детские «Гонщик» экокожа;2;Кроссовки детские «Гонщик» экокожа. Производитель: Фабрика «2», г. Киров;Верх — экокожа (микрофибра), подкладка — текстиль сетчатый (полиэстер), подошва — термопластичная резина (ТЭП);2490
3;1;1;IMG_KS_195222.png;Кроссовки детские «Радуга» экокожа перфорированная;3;Кроссовки детские «Радуга» экокожа перфорированная. Производитель: ИП Смирнова Л.В. (бренд «3»), г. Вологда;Верх — экокожа перфорированная, вставки — нейлон, стелька — ортопедическая с латексной подушкой, подошва — ЭВА;1990
4;1;2;IMG_KB_185501.png;Сапожки детские «Снежинка» зимние на меху;4;Сапожки детские «Снежинка» зимние на меху. Производитель: ООО «4», г. Новосибирск;Верх — экокожа морозостойкая, утеплитель — искусственный мех (акрил 70%, полиэстер 30%), подкладка — флис, подошва — термоэластопласт (ТЭП);3490
5;1;2;IMG_KB_164816.png;Сапожки детские «Медвежонок» демисезонные непромокаемые;5;Сапожки детские «Медвежонок» демисезонные непромокаемые. Производитель: Компания «Северята», г. Архангельск;Верх — плащёвая ткань с водоотталкивающей пропиткой (полиэстер 100%), отделка — экокожа, подкладка — микрофибра, мембрана — AirTex, подошва — резина;3190
6;1;2;IMG_KB_164811.png;Сапожки детские «Принцесса» кожаные;6;Сапожки детские «Принцесса» кожаные. Производитель: Мастерская «Весна», г. Тула;Верх — натуральная кожа (КРС), подкладка — шерсть натуральная (70%), байка (30%), стелька — войлочная, подошва — полиуретан;4290
7;1;3;IMG_KSd_195207.png;Сандалии детские «Пчёлка» ортопедические летние;7;Сандалии детские «Пчёлка» ортопедические летние. Производитель: ООО «Здоровый шаг», г. Воронеж;Верх — нубук натуральный, подкладка — кожа растительного дубления, стелька — анатомическая с супинатором (латекс + пробка), подошва — каучук;2790
8;1;3;IMG_KSd_185508.png;Сандалии детские «Морячок» текстильные с фиксатором;8;Сандалии детские «Морячок» текстильные с фиксатором. Производитель: ИП Кузнецов А.Д. (бренд «Карапуз»), г. Краснодар;Верх — джинсовая ткань (хлопок 100%), окантовка — искусственная кожа, подкладка — хлопок, подошва — ЭВА лёгкая;1690
9;1;4;IMG_KSho_185512.png;Туфли детские «Бантик» лаковые праздничные;9;Туфли детские «Бантик» лаковые праздничные. Производитель: Дом обуви «Маленький франт», г. Москва;Верх — искусственная лаковая кожа (ПВХ), носок усиленный — термопластичный полиуретан, подкладка — кожа искусственная дышащая, стелька — анатомическая с амортизацией, подошва — полиуретан;2390
10;2;5;IMG_WB_170905.png;Сапоги зимние натуральная кожа;10;Сапоги женские зимние, нескользящая, устойчивая подошва, натуральный мех. Производитель: Дом обуви «10», г. Новороссийск ;Верх — натуральная кожа, подкладка — евромех, натуральный мех, текстильный утеплитель, подошва — резина;25000
